product-id,product-name,size,color,price,in-stock
,"2"" Mini Tropical/Fern Trio - Shopkeeper's Choice",,,$12.00,TRUE
,"Barrel Cactus in 2.5"" Niche Planter",,,$17.00,TRUE
,"Thumb Cactus potted in 2.5"" Niche Planter",,,$17.00,TRUE
,Cabo Terra Cotta Pot + Tray,"7.5""",,$8.50,TRUE
,Michiko Shimada Mini Planter Set,,,$42.00,TRUE
,Michiko Shimada Pouf Pot,Medium,,$34.95,TRUE
,Michiko Shimada Pouf Pot,Small,,$19.95,TRUE
,Plant + Vessel White Tiger,,,$32.00,TRUE
,Plant + Vessel Frosting,,,$24.00,TRUE
,Kinto Bell Planter,"4""",Blue,$20.00,FALSE
,Kinto Bell Planter,"4""",Beige,$20.00,TRUE
,Kinto Bell Planter,"4""",White,$20.00,FALSE
,Kinto Bell Planter,"5.5""",Blue,$20.00,FALSE
,Kinto Bell Planter,"5.5""",Beige,$20.00,FALSE
,Kinto Bell Planter,"5.5""",White,$20.00,FALSE